InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,source_file,is_cancellation,line_total
510772,21927,BLUE/CREAM STRIPE CUSHION COVER ,1,2010-06-03 14:02:00,5.91,,United Kingdom,online_retail_II,False,5.91
558761,85061W,WHITE JEWELLED HEART DECORATION,1,2011-07-03 12:52:00,0.85,15033.0,United Kingdom,online_retail_I,False,0.85
501476,22383,LUNCH BAG SUKI  DESIGN ,10,2010-03-17 08:59:00,1.65,15990.0,United Kingdom,online_retail_II,False,16.5
573909,21155,RED RETROSPOT PEG BAG,1,2011-11-01 15:26:00,2.55,17813.0,United Kingdom,online_retail_I,False,2.55
535398,21819,GLITTER CHRISTMAS STAR ,1,2010-11-26 11:00:00,0.85,18031.0,United Kingdom,online_retail_II,False,0.85
539595,22613,PACK OF 20 SPACEBOY NAPKINS,1,2010-12-20 13:43:00,1.66,,United Kingdom,online_retail_I,False,1.66
540545,22066,LOVE HEART TRINKET POT,4,2011-01-09 15:35:00,1.45,13451.0,United Kingdom,online_retail_I,False,5.8
572323,22155,STAR DECORATION RUSTIC,48,2011-10-24 09:46:00,0.42,14312.0,United Kingdom,online_retail_I,False,20.16
570103,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,1,2011-10-07 12:18:00,4.95,15719.0,United Kingdom,online_retail_I,False,4.95
527492,21902,"KEY FOB , FRONT  DOOR ",1,2010-10-18 11:57:00,0.65,16395.0,United Kingdom,online_retail_II,False,0.65
566217,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,1,2011-09-09 15:17:00,1.63,14096.0,United Kingdom,online_retail_I,False,1.63
501277,21531,RETRO SPOT SUGAR JAM BOWL,24,2010-03-15 13:58:00,2.1,18051.0,United Kingdom,online_retail_II,False,50.400000000000006
490093,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,24,2009-12-03 15:56:00,1.49,12949.0,United Kingdom,online_retail_II,False,35.76
498757,85214,TUB 24 PINK FLOWER PEGS,12,2010-02-22 16:49:00,1.65,14030.0,United Kingdom,online_retail_II,False,19.799999999999997
525882,21107,CREAM SLICE FLANNEL PINK SPOT ,1,2010-10-07 14:28:00,5.91,,United Kingdom,online_retail_II,False,5.91
521700,85175,CACTI T-LIGHT CANDLES,16,2010-09-08 10:54:00,0.42,14740.0,United Kingdom,online_retail_II,False,6.72
572552,47559B,TEA TIME OVEN GLOVE,2,2011-10-24 17:07:00,2.46,14096.0,United Kingdom,online_retail_I,False,4.92
525335,22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,24,2010-10-05 11:24:00,1.25,14298.0,United Kingdom,online_retail_II,False,30.0
571797,23174,REGENCY SUGAR BOWL GREEN,1,2011-10-19 11:41:00,8.29,,United Kingdom,online_retail_I,False,8.29
550496,21907,I'M ON HOLIDAY METAL SIGN,1,2011-04-18 15:05:00,4.13,,United Kingdom,online_retail_I,False,4.13
572103,21369,MIRRORED WALL ART SPLODGES,1,2011-10-20 15:57:00,1.25,17571.0,United Kingdom,online_retail_I,False,1.25
524878,20846,ZINC HEART LATTICE T-LIGHT HOLDER,12,2010-10-01 10:43:00,1.25,12696.0,Finland,online_retail_II,False,15.0
559813,23236,DOILEY STORAGE TIN,6,2011-07-12 15:42:00,2.89,18272.0,United Kingdom,online_retail_I,False,17.34
542058,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2011-01-25 11:59:00,0.85,15601.0,United Kingdom,online_retail_I,False,20.4
575318,20668,DISCO BALL CHRISTMAS DECORATION,24,2011-11-09 13:17:00,0.12,14921.0,United Kingdom,online_retail_I,False,2.88
569261,16237,SLEEPING CAT ERASERS,5,2011-10-03 11:34:00,0.21,17321.0,United Kingdom,online_retail_I,False,1.05
494814,22054,MINI CAKE STAND HANGING HEARTS,1,2010-01-19 09:05:00,3.36,,United Kingdom,online_retail_II,False,3.36
568567,22028,PENNY FARTHING BIRTHDAY CARD,1,2011-09-27 18:41:00,0.83,,United Kingdom,online_retail_I,False,0.83
512435,84913B,MINT GREEN ROSE TOWEL,1,2010-06-15 15:54:00,3.36,,United Kingdom,online_retail_II,False,3.36
524628,22131,FOOD CONTAINER SET 3 LOVE HEART ,2,2010-09-30 10:56:00,1.95,14796.0,United Kingdom,online_retail_II,False,3.9
535997,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-11-29 13:55:00,9.95,12935.0,United Kingdom,online_retail_II,False,9.95
581580,22704,WRAP RED APPLES ,25,2011-12-09 12:20:00,0.42,12748.0,United Kingdom,online_retail_I,False,10.5
550183,22423,REGENCY CAKESTAND 3 TIER,2,2011-04-14 17:58:00,12.75,14105.0,United Kingdom,online_retail_I,False,25.5
564719,22951,60 CAKE CASES DOLLY GIRL DESIGN,1,2011-08-28 11:55:00,0.55,15325.0,United Kingdom,online_retail_I,False,0.55
521811,22634,CHILDS BREAKFAST SET SPACEBOY ,2,2010-09-08 14:57:00,9.95,16713.0,United Kingdom,online_retail_II,False,19.9
505550,21059,PARTY INVITES DINOSAURS,12,2010-04-23 08:28:00,0.72,17448.0,United Kingdom,online_retail_II,False,8.64
527044,22867,HAND WARMER BIRD DESIGN,24,2010-10-14 12:41:00,2.1,13756.0,United Kingdom,online_retail_II,False,50.400000000000006
C494909,D,Discount,-30,2010-01-19 16:45:00,0.4,12931.0,United Kingdom,online_retail_II,True,-12.0
530280,21314,SMALL GLASS HEART TRINKET POT,4,2010-11-02 12:02:00,2.1,16117.0,United Kingdom,online_retail_II,False,8.4
580500,22077,6 RIBBONS RUSTIC CHARM,12,2011-12-04 12:52:00,1.95,17131.0,United Kingdom,online_retail_I,False,23.4
557112,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,40,2011-06-16 16:31:00,0.42,,United Kingdom,online_retail_I,False,16.8
521202,47591B,SCOTTIES CHILDRENS APRON,4,2010-09-02 17:52:00,1.66,,United Kingdom,online_retail_II,False,6.64
498964,85041,SET/4 PINK ORCHID CANDLES IN BOWL,4,2010-02-24 11:28:00,1.65,15984.0,United Kingdom,online_retail_II,False,6.6
572550,23080,RED METAL BOX TOP SECRET,1,2011-10-24 17:06:00,16.63,,United Kingdom,online_retail_I,False,16.63
531843,90099,NECKLACE+BRACELET SET BLUE HIBISCUS,1,2010-11-10 09:34:00,5.06,,United Kingdom,online_retail_II,False,5.06
545082,21535,RED RETROSPOT SMALL MILK JUG,6,2011-02-28 10:37:00,2.55,16992.0,United Kingdom,online_retail_I,False,15.299999999999999
545216,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,2,2011-02-28 16:50:00,3.29,,United Kingdom,online_retail_I,False,6.58
498162,84989B,75 BLACK FAIRY CAKE CASES,24,2010-02-17 12:11:00,0.55,17560.0,United Kingdom,online_retail_II,False,13.200000000000001
C510217,79323GR,GREEN CHERRY LIGHTS,-4,2010-05-28 08:23:00,6.75,17049.0,United Kingdom,online_retail_II,True,-27.0
554701,15056BL,EDWARDIAN PARASOL BLACK,3,2011-05-26 09:33:00,5.95,12974.0,United Kingdom,online_retail_I,False,17.85
548894,22861,EASTER TIN CHICKS IN GARDEN,1,2011-04-04 16:01:00,3.29,,United Kingdom,online_retail_I,False,3.29
512437,DCGS0003,BOXED GLASS ASHTRAY,1,2010-06-15 16:17:00,2.51,,United Kingdom,online_retail_II,False,2.51
490963,21865,PINK UNION JACK  PASSPORT COVER ,3,2009-12-08 15:49:00,4.3,,United Kingdom,online_retail_II,False,12.899999999999999
515484,84375,SET OF 20 KIDS COOKIE CUTTERS,2,2010-07-13 10:25:00,1.95,17994.0,United Kingdom,online_retail_II,False,3.9
545883,85163A,WHITE BAROQUE WALL CLOCK ,1,2011-03-07 15:40:00,12.75,15974.0,United Kingdom,online_retail_I,False,12.75
513545,21411,GINGHAM HEART  DOORSTOP RED,3,2010-06-25 12:10:00,4.25,14326.0,United Kingdom,online_retail_II,False,12.75
563708,23202,JUMBO BAG VINTAGE LEAF,10,2011-08-18 15:09:00,2.08,17001.0,United Kingdom,online_retail_I,False,20.8
C559461,22383,LUNCH BAG SUKI DESIGN ,-1,2011-07-08 13:04:00,1.65,14680.0,United Kingdom,online_retail_I,True,-1.65
527971,21806,WHITE CHRISTMAS HEART DECORATION,36,2010-10-20 10:09:00,0.42,13373.0,United Kingdom,online_retail_II,False,15.12
506303,22358,KINGS CHOICE TEA CADDY ,6,2010-04-29 10:43:00,2.95,14249.0,United Kingdom,online_retail_II,False,17.700000000000003
541410,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,2011-01-17 16:06:00,1.25,13089.0,United Kingdom,online_retail_I,False,15.0
577127,22186,RED STAR CARD HOLDER,6,2011-11-17 19:27:00,2.95,16871.0,United Kingdom,online_retail_I,False,17.700000000000003
503867,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,6,2010-04-08 11:16:00,2.55,13712.0,United Kingdom,online_retail_II,False,15.299999999999999
540552,22470,HEART OF WICKER LARGE,6,2011-01-10 09:44:00,2.95,16350.0,United Kingdom,online_retail_I,False,17.700000000000003
530139,84792,ENCHANTED BIRD COATHANGER 5 HOOK,24,2010-11-01 16:24:00,3.81,14426.0,United Kingdom,online_retail_II,False,91.44
566225,84992,72 SWEETHEART FAIRY CAKE CASES,1,2011-09-11 10:35:00,0.55,16899.0,United Kingdom,online_retail_I,False,0.55
529504,22769,CHALKBOARD KITCHEN ORGANISER,1,2010-10-28 14:19:00,24.95,,United Kingdom,online_retail_II,False,24.95
499973,84562A,PINK/WHITE RIBBED MELAMINE JUG,1,2010-03-03 14:42:00,7.95,13595.0,United Kingdom,online_retail_II,False,7.95
577519,23302,KNEELING MAT HOUSEWORK  DESIGN,4,2011-11-20 13:20:00,1.65,15044.0,United Kingdom,online_retail_I,False,6.6
541975,21949,SET OF 6 STRAWBERRY CHOPSTICKS,36,2011-01-24 14:24:00,1.25,,Hong Kong,online_retail_I,False,45.0
529727,22697,GREEN REGENCY TEACUP AND SAUCER,7,2010-10-29 14:12:00,5.91,,United Kingdom,online_retail_II,False,41.370000000000005
573130,23533,WALL ART GARDEN HAVEN ,3,2011-10-27 16:41:00,5.95,13969.0,United Kingdom,online_retail_I,False,17.85
514350,21238,RED SPOTTY CUP,8,2010-07-01 15:48:00,0.85,13317.0,United Kingdom,online_retail_II,False,6.8
528730,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,2010-10-24 13:28:00,3.75,13574.0,United Kingdom,online_retail_II,False,3.75
493514,20911,,2,2010-01-04 15:09:00,0.0,,United Kingdom,online_retail_II,False,0.0
522999,22197,SMALL POPCORN HOLDER,1,2010-09-19 15:53:00,0.85,17255.0,United Kingdom,online_retail_II,False,0.85
566255,22698,PINK REGENCY TEACUP AND SAUCER,24,2011-09-11 12:23:00,2.55,13324.0,United Kingdom,online_retail_I,False,61.199999999999996
560686,20749,ASSORTED COLOUR MINI CASES,2,2011-07-20 11:50:00,7.95,15632.0,United Kingdom,online_retail_I,False,15.9
578067,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,2011-11-22 15:43:00,3.29,,United Kingdom,online_retail_I,False,3.29
511132,21679,SKULLS  STICKERS,6,2010-06-07 11:23:00,0.85,17987.0,United Kingdom,online_retail_II,False,5.1
545334,21383,PACK OF 12 STICKY BUNNIES,5,2011-03-01 16:34:00,0.65,15750.0,United Kingdom,online_retail_I,False,3.25
520082,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,144,2010-08-24 10:41:00,0.55,17511.0,United Kingdom,online_retail_II,False,79.2
529833,22306,SILVER MUG BONE CHINA TREE OF LIFE,2,2010-10-31 12:32:00,1.95,16791.0,United Kingdom,online_retail_II,False,3.9
535398,22906,12 MESSAGE CARDS WITH ENVELOPES,2,2010-11-26 11:00:00,1.65,18031.0,United Kingdom,online_retail_II,False,3.3
540866,21240,BLUE POLKADOT CUP,96,2011-01-12 11:21:00,0.72,17324.0,United Kingdom,online_retail_I,False,69.12
568702,22449,SILK PURSE BABUSHKA PINK,2,2011-09-28 15:18:00,3.35,17950.0,United Kingdom,online_retail_I,False,6.7
490017,21034,REX CASH+CARRY JUMBO SHOPPER,2,2009-12-03 12:31:00,0.95,14159.0,United Kingdom,online_retail_II,False,1.9
545701,85099C,JUMBO  BAG BAROQUE BLACK WHITE,20,2011-03-06 15:17:00,1.95,17107.0,United Kingdom,online_retail_I,False,39.0
574258,22993,SET OF 4 PANTRY JELLY MOULDS,1,2011-11-03 13:50:00,1.25,16891.0,United Kingdom,online_retail_I,False,1.25
568134,82583,HOT BATHS METAL SIGN,3,2011-09-23 17:02:00,4.13,,United Kingdom,online_retail_I,False,12.39
580727,22566,FELTCRAFT HAIRBAND PINK AND PURPLE,3,2011-12-05 17:17:00,1.63,14096.0,United Kingdom,online_retail_I,False,4.89
489792,22107,PIZZA PLATE IN BOX,2,2009-12-02 12:06:00,3.75,14527.0,United Kingdom,online_retail_II,False,7.5
489874,21588,RETRO SPOT GIANT  TUBE MATCHES,6,2009-12-02 15:38:00,2.55,18001.0,United Kingdom,online_retail_II,False,15.299999999999999
577235,23209,LUNCH BAG VINTAGE DOILY ,10,2011-11-18 12:09:00,1.65,14367.0,United Kingdom,online_retail_I,False,16.5
537773,15056N,EDWARDIAN PARASOL NATURAL,2,2010-12-08 12:36:00,5.95,16016.0,United Kingdom,online_retail_I,False,11.9
514823,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,2010-07-06 12:19:00,4.25,12730.0,Germany,online_retail_II,False,17.0
530812,22272,FELTCRAFT DOLL MARIA,1,2010-11-04 13:05:00,2.95,15860.0,United Kingdom,online_retail_II,False,2.95
514279,21245,GREEN  SPOTTY PLATE ,2,2010-07-01 11:59:00,1.69,14451.0,United Kingdom,online_retail_II,False,3.38
515687,10123C,HEARTS WRAPPING TAPE ,1,2010-07-14 12:05:00,0.65,14896.0,United Kingdom,online_retail_II,False,0.65
551855,23254,CHILDRENS CUTLERY DOLLY GIRL ,2,2011-05-04 15:08:00,4.15,12836.0,United Kingdom,online_retail_I,False,8.3
554325,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,12,2011-05-23 15:38:00,2.55,12621.0,Germany,online_retail_I,False,30.599999999999998
580054,21159,MOODY BOY  DOOR HANGER ,4,2011-12-01 13:08:00,0.39,18122.0,United Kingdom,online_retail_I,False,1.56
500843,22467,GUMBALL COAT RACK,2,2010-03-10 12:13:00,2.55,17348.0,United Kingdom,online_retail_II,False,5.1
530850,21531,RED RETROSPOT SUGAR JAM BOWL,1,2010-11-04 14:49:00,5.06,,United Kingdom,online_retail_II,False,5.06
512929,21314,SMALL GLASS HEART TRINKET POT,4,2010-06-20 11:50:00,2.1,16710.0,United Kingdom,online_retail_II,False,8.4
570592,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,2011-10-11 11:37:00,6.63,,United Kingdom,online_retail_I,False,6.63
517460,22687,DOORMAT CHRISTMAS VILLAGE,2,2010-07-29 11:34:00,7.49,14110.0,United Kingdom,online_retail_II,False,14.98
580311,23534,WALL ART STOP FOR TEA ,3,2011-12-02 14:48:00,5.95,18245.0,United Kingdom,online_retail_I,False,17.85
511068,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-06-06 13:11:00,0.55,14208.0,United Kingdom,online_retail_II,False,13.200000000000001
525854,21217,RED RETROSPOT ROUND CAKE TINS,1,2010-10-07 12:51:00,9.95,13567.0,United Kingdom,online_retail_II,False,9.95
548162,84997c,CHILDRENS CUTLERY POLKADOT BLUE,6,2011-03-29 13:42:00,8.29,,United Kingdom,online_retail_I,False,49.739999999999995
581407,21755,LOVE BUILDING BLOCK WORD,1,2011-12-08 13:59:00,6.25,13263.0,United Kingdom,online_retail_I,False,6.25
557007,22384,LUNCH BAG PINK POLKADOT,12,2011-06-16 11:30:00,1.65,12484.0,Spain,online_retail_I,False,19.799999999999997
552624,21534,DAIRY MAID LARGE MILK JUG,1,2011-05-10 12:53:00,4.95,14505.0,United Kingdom,online_retail_I,False,4.95
546896,82580,BATHROOM METAL SIGN,1,2011-03-17 18:24:00,1.25,,United Kingdom,online_retail_I,False,1.25
555076,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2011-05-31 12:11:00,0.85,13900.0,United Kingdom,online_retail_I,False,10.2
489857,20906,VINTAGE NOTEBOOK BEAUTY GIRL,2,2009-12-02 14:43:00,6.04,,United Kingdom,online_retail_II,False,12.08
562258,22620,4 TRADITIONAL SPINNING TOPS,2,2011-08-03 15:28:00,1.45,16348.0,United Kingdom,online_retail_I,False,2.9
526138,22950,SET OF 36 DOILIES VINTAGE CHRISTMAS,12,2010-10-08 14:35:00,1.45,15622.0,United Kingdom,online_retail_II,False,17.4
571837,23493,VINTAGE DOILY TRAVEL SEWING KIT,3,2011-10-19 12:11:00,1.95,16470.0,United Kingdom,online_retail_I,False,5.85
490009,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,1,2009-12-03 12:13:00,1.25,12835.0,United Kingdom,online_retail_II,False,1.25
580730,22421,LIPSTICK PEN FUSCHIA,1,2011-12-05 17:28:00,0.83,,United Kingdom,online_retail_I,False,0.83
508733,20716,PARTY FOOD SHOPPER BAG,10,2010-05-18 10:34:00,1.25,15622.0,United Kingdom,online_retail_II,False,12.5
558535,22467,GUMBALL COAT RACK,1,2011-06-30 12:04:00,2.55,16904.0,United Kingdom,online_retail_I,False,2.55
565598,22728,ALARM CLOCK BAKELIKE PINK,4,2011-09-05 14:30:00,3.75,14842.0,United Kingdom,online_retail_I,False,15.0
556041,62018,SOMBRERO ,9,2011-06-08 12:44:00,1.95,17954.0,United Kingdom,online_retail_I,False,17.55
545991,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2011-03-08 13:12:00,6.75,15311.0,United Kingdom,online_retail_I,False,67.5
537670,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2010-12-08 09:07:00,4.25,13078.0,United Kingdom,online_retail_I,False,102.0
560444,47590B,PINK HAPPY BIRTHDAY BUNTING,2,2011-07-18 17:15:00,5.45,13764.0,United Kingdom,online_retail_I,False,10.9
520857,21135,VICTORIAN  METAL POSTCARD SPRING,3,2010-08-31 13:41:00,1.69,17126.0,United Kingdom,online_retail_II,False,5.07
501806,21918,SET 12 KIDS COLOUR  CHALK STICKS,12,2010-03-19 14:02:00,0.42,17673.0,United Kingdom,online_retail_II,False,5.04
510875,90025A,,-2,2010-06-04 09:58:00,0.0,,United Kingdom,online_retail_II,False,-0.0
522315,22218,CAKE STAND LACE WHITE,1,2010-09-13 15:14:00,8.47,,United Kingdom,online_retail_II,False,8.47
570444,21181,PLEASE ONE PERSON METAL SIGN,2,2011-10-10 14:38:00,2.1,17284.0,United Kingdom,online_retail_I,False,4.2
494012,21780,MA CAMPAGNE 4 DRAWER WALL SHELF,7,2010-01-11 09:31:00,11.26,,United Kingdom,online_retail_II,False,78.82
496068,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,20,2010-01-28 15:57:00,3.75,12931.0,United Kingdom,online_retail_II,False,75.0
529133,21169,YOU'RE CONFUSING ME METAL SIGN ,1,2010-10-26 14:47:00,4.21,,United Kingdom,online_retail_II,False,4.21
536544,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2010-12-01 14:32:00,7.62,,United Kingdom,online_retail_I,False,7.62
514097,17091B,JASMINE TEA INCENSE IN TIN,1,2010-06-30 12:27:00,2.51,,United Kingdom,online_retail_II,False,2.51
543982,22078,RIBBON REEL LACE DESIGN ,10,2011-02-15 08:21:00,2.1,15358.0,United Kingdom,online_retail_I,False,21.0
578270,21929,JUMBO BAG PINK VINTAGE PAISLEY,3,2011-11-23 13:39:00,4.13,14096.0,United Kingdom,online_retail_I,False,12.39
524112,22818,CARD CHRISTMAS VILLAGE,12,2010-09-27 13:24:00,0.42,15358.0,United Kingdom,online_retail_II,False,5.04
551983,20712,JUMBO BAG WOODLAND ANIMALS,10,2011-05-05 14:32:00,2.08,17735.0,United Kingdom,online_retail_I,False,20.8
572030,22950,36 DOILIES VINTAGE CHRISTMAS,12,2011-10-20 11:51:00,1.45,14923.0,United Kingdom,online_retail_I,False,17.4
514471,48173C,DOORMAT BLACK FLOCK ,1,2010-07-02 13:25:00,6.35,12748.0,United Kingdom,online_retail_II,False,6.35
539958,90059A,DIAMANTE HAIR GRIP PACK/2 CRYSTAL,1,2010-12-23 13:26:00,1.69,,United Kingdom,online_retail_I,False,1.69
500094,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,2010-03-04 12:24:00,3.75,15005.0,United Kingdom,online_retail_II,False,3.75
576090,21166,COOK WITH WINE METAL SIGN ,192,2011-11-14 08:56:00,2.4,17450.0,United Kingdom,online_retail_I,False,460.79999999999995
560772,23004,TRAVEL CARD WALLET PANTRY,2,2011-07-20 16:12:00,0.83,,United Kingdom,online_retail_I,False,1.66
551010,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,2,2011-04-26 09:52:00,8.29,,United Kingdom,online_retail_I,False,16.58
574098,22619,SET OF 6 SOLDIER SKITTLES,4,2011-11-03 10:03:00,3.75,16337.0,United Kingdom,online_retail_I,False,15.0
C564964,22698,PINK REGENCY TEACUP AND SAUCER,-2,2011-08-31 15:00:00,2.95,17315.0,United Kingdom,online_retail_I,True,-5.9
495591,21669,BLUE STRIPE CERAMIC DRAWER KNOB,192,2010-01-26 10:25:00,1.06,14646.0,Netherlands,online_retail_II,False,203.52
490719,85090,CANDY SPOT APRON,3,2009-12-07 15:42:00,4.65,13042.0,United Kingdom,online_retail_II,False,13.950000000000001
521665,84970S,HANGING HEART ZINC T-LIGHT HOLDER,24,2010-09-07 15:01:00,0.85,15674.0,United Kingdom,online_retail_II,False,20.4
497918,22109,FULL ENGLISH BREAKFAST PLATE,1,2010-02-14 15:22:00,3.75,17841.0,United Kingdom,online_retail_II,False,3.75
567794,21930,JUMBO STORAGE BAG SKULLS,20,2011-09-22 11:41:00,1.79,17581.0,United Kingdom,online_retail_I,False,35.8
564536,22742,MAKE YOUR OWN PLAYTIME CARD KIT,3,2011-08-25 15:12:00,2.95,13159.0,United Kingdom,online_retail_I,False,8.850000000000001
525951,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,2010-10-07 18:48:00,12.75,14998.0,United Kingdom,online_retail_II,False,12.75
